,column_name,type,n_nans,n_nulls
0,order_id,int64,0,0
1,date,object,0,0
2,time,object,0,0
3,order_details_id,int64,0,0
4,order_id,int64,0,0
5,pizza_id,object,0,0
6,quantity,int64,0,0
7,pizza_id,object,0,0
8,pizza_type_id,object,0,0
9,size,object,0,0
10,price,float64,0,0
11,pizza_type_id,object,0,0
12,name,object,0,0
13,category,object,0,0
14,ingredients,object,0,0
